,year,num_events,max_duration,med_duration,avg_intensity,max_intensity
0,1991,2,3,3.0,1.3887095399054548,2.6355035090064867
1,1992,4,5,3.5,2.1173594976935273,6.515035679270056
2,1993,4,3,3.0,1.9307589553842186,8.393950000580682
3,1994,6,4,3.0,1.0871737769797525,2.678678057720596
4,1995,4,4,3.5,1.4429807644326884,4.774977033749824
5,1996,3,4,3.0,3.2443483528170316,7.1845835550324075
6,1997,4,7,3.5,1.8916484023868128,4.435314411513378
7,1998,6,9,4.0,2.296503486976872,7.787985161067104
8,1999,4,8,5.0,1.599190755343422,3.4435794358583784
9,2000,1,3,3.0,0.9967222559031109,1.168371941610502
10,2001,2,5,4.0,1.4547999173358617,2.211591997255141
11,2002,7,6,4.0,2.289373133496531,7.619804174331783
12,2003,4,5,3.5,1.5698017377204216,4.444602885917114
13,2004,6,4,3.0,1.8308650358926464,6.129250840620381
14,2005,8,11,3.0,2.1078067150464577,4.199964053295826
15,2006,9,9,3.0,1.5890446691087996,4.49438358485688
16,2007,5,10,5.0,2.135545009942056,7.497630338610984
17,2008,5,7,6.0,1.451798622936042,4.358845692820708
18,2009,6,5,4.0,2.7979836744063715,8.817216871296443
19,2010,5,4,3.0,2.197376931755965,8.593882781742684
20,2011,7,5,4.0,1.9631472355632096,5.0447202079628966
21,2012,4,5,3.0,1.0475260718891475,2.4398510706886363
22,2013,10,14,4.0,2.0667313376634517,7.867908525587492
23,2014,6,7,3.5,2.173591792359102,9.990986153830413
24,2015,4,4,3.0,1.6460777390682415,6.950772508788184
25,2016,8,5,3.5,1.9613096355074946,4.608533609279149
26,2017,6,11,3.5,1.318450281571984,3.456150842401364
27,2018,8,5,3.0,1.9341786732995976,5.595283509633024
28,2019,2,4,3.5,2.1899910730412504,4.951176396285952
29,2020,3,5,3.0,2.9580924004947966,8.121094162958968
30,2021,8,10,3.0,2.0730768377267372,6.769286896851137
31,2022,8,13,5.0,2.565325549861567,6.211897912603437
32,2023,9,7,3.0,2.268998993136755,7.317317455512866
33,2024,11,13,5.0,1.7387715827329115,6.617947587085906
